,AF2,AF2r10,NN,OF,OFr4,OFr20,IF,DA
7r20_B,255,502,5,30.37,11.51,57.58,6.12,199
7p6k_G,237,510,5,28.5,11.0,55.14,6.0,185
7apj_B,199,501,5,29.55,11.19,56.19,6.38,124
7r4q_D,243,500,6,33.32,12.95,63.61,6.35,157
7l6v_B,236,501,5,30.11,11.44,57.24,6.28,165
7d8b_B,274,618,6,37.98,14.5,72.64,7.02,172
7pqg_B,236,603,6,33.19,12.72,63.3,6.78,158
7anq_B,237,599,5,34.0,13.0,64.97,7.17,175
7d6y_B,274,625,6,38.02,14.56,72.64,6.88,186
7z1b_E,277,625,7,33.95,12.97,64.9,6.76,164
7nfr_B,236,502,5,30.13,11.41,57.25,6.63,179
7nqk_B,269,622,6,34.01,13.03,64.89,6.87,130
7ar0_B,237,608,6,33.22,12.71,63.31,6.73,162
7l6v_D,239,499,6,30.1,11.45,57.24,6.25,168
7czd_A,201,503,5,29.3,11.04,55.14,6.2,180
7te8_C,254,503,6,30.8,11.7,58.49,6.39,142
7kd0_C,202,501,5,30.35,11.46,57.57,6.3,170
7sl9_B,251,515,5,34.0,12.98,64.91,6.68,191
7cz0_E,235,501,5,27.72,10.99,55.18,6.37,176
7tpr_F,209,502,5,34.01,12.94,64.97,6.49,213
7r63_A,273,610,5,32.01,12.23,61.05,6.66,191
7s2r_B,277,625,6,38.01,14.47,72.58,7.07,154
7nqa_C,250,528,5,31.61,12.26,60.36,6.51,212
7rby_B,279,619,6,39.44,15.08,75.19,6.73,136
7n9c_D,274,598,6,33.22,12.7,63.35,6.94,160
7ocy_C,254,514,5,26.36,12.47,51.68,6.21,172
7f5g_B,242,500,5,30.14,11.41,57.24,6.33,152
7b2p_D,249,502,5,33.33,12.71,63.6,6.52,196
7p5w_G,244,502,6,33.3,12.72,63.47,6.49,138
7vfa_D,282,610,6,31.96,12.16,61.04,6.56,179
7lzp_B,278,619,6,39.41,15.06,75.14,6.87,143
7nft_C,242,502,5,34.14,12.97,64.9,6.54,174
7php_N,238,501,5,34.07,13.01,64.91,6.44,199
7djy_A,241,520,5,31.64,12.06,60.33,6.37,179
7d4b_B,274,603,6,32.63,12.47,62.38,6.74,177
7lzp_G,240,500,5,26.29,10.5,51.49,5.82,140
7qbg_E,268,614,6,32.63,12.42,62.34,6.56,161
7vfb_B,283,621,6,34.15,13.04,65.2,6.71,184
7omn_A,238,602,6,32.73,12.43,62.35,6.6,185
7nfq_C,248,501,6,30.11,11.46,57.24,6.39,184
7r4i_D,271,602,5,32.7,12.43,62.36,6.18,171
7s7r_B,244,501,5,33.33,12.67,63.67,6.34,157
6zwk_A,269,602,6,32.65,12.47,62.36,6.76,193
7t5f_C,247,499,5,30.19,11.41,57.22,6.34,160
7p5v_G,240,506,5,27.99,10.99,55.16,6.24,180
7na9_D,272,623,6,39.28,15.07,75.03,6.98,179
7qbe_E,253,510,6,31.65,12.1,60.35,6.54,201
7rnn_C,200,502,5,29.61,11.42,56.23,6.36,201
7e53_B,237,622,6,34.16,13.06,65.21,6.77,143
7olz_B,246,519,6,31.62,12.02,60.35,6.48,213
7m1h_F,244,501,5,34.03,12.97,64.93,6.34,206
7qiv_C,247,513,5,31.63,12.08,60.3,6.6,212
7z1c_E,272,597,6,34.07,12.98,64.9,6.92,162
7tpr_D,237,607,6,34.13,13.02,65.19,8.47,157
7fat_B,273,620,6,37.09,14.1,70.74,6.7,190
7lzp_C,249,501,5,30.07,11.51,57.23,6.36,146
7p60_G,276,661,6,32.71,12.47,62.33,6.6,135
7r98_D,273,605,6,34.03,12.94,64.87,6.61,184
7ngh_D,239,502,5,29.04,11.06,55.15,6.3,155
7e6u_B,301,637,5,31.94,12.18,61.03,6.8,198
7ndf_C,200,503,5,28.21,11.2,55.2,5.87,186
7te8_A,260,502,6,30.76,11.69,58.51,6.31,209
7r74_B,223,501,5,30.3,11.5,57.58,6.18,167
7m1h_E,247,501,5,33.34,12.74,63.62,6.46,164
7fau_B,236,603,5,34.0,13.01,64.96,6.41,210
7djx_A,281,602,6,32.65,12.48,62.46,6.31,162
7zfb_M,279,612,6,32.01,12.16,61.11,6.72,184
7r4r_D,239,501,5,30.76,11.68,58.49,6.15,126
7z1a_E,276,606,6,33.94,12.95,64.89,6.98,180
7ooi_A,238,601,6,32.63,12.53,62.32,6.52,172
7l6v_C,241,500,6,34.05,12.95,64.88,6.48,175
7oan_F,247,500,5,33.26,12.71,63.46,6.26,194
7t5f_B,259,502,5,30.3,11.51,57.57,6.36,165
7p5y_G,247,502,6,33.29,13.2,63.6,6.41,159
7o06_A,253,508,5,34.02,12.9,64.93,6.39,180
