,model,Number of residues in common,global rmsd,TM-score,MaxSub-score,GDT-TS-score,GDT-TS-score %(d<1),GDT-TS-score %(d<2),GDT-TS-score %(d<4),GDT-TS-score %(d<8),GDT-HA-score,GDT-HA-score %(d<0.5),GDT-HA-score %(d<1),GDT-HA-score %(d<2),GDT-HA-score %(d<4),TM-score Superposition Length(d<5.0),CDR3 length,resolution
7r20_B,IFem,118,2.719,0.8665,0.8239,0.8517,0.6864,0.822,0.9153,0.9831,0.7119,0.4237,0.6864,0.822,0.9153,108,10,1.42
7r20_B,AF2em,118,2.905,0.8771,0.8373,0.875,0.7542,0.839,0.9237,0.9831,0.7775,0.5932,0.7542,0.839,0.9237,108,10,1.42
7r20_B,AF2r10,118,2.793,0.8837,0.8507,0.875,0.7542,0.839,0.9237,0.9831,0.7733,0.5763,0.7542,0.839,0.9237,109,10,1.42
7r20_B,OFr20,118,2.78,0.8782,0.8433,0.875,0.7542,0.839,0.9237,0.9831,0.7733,0.5763,0.7542,0.839,0.9237,109,10,1.42
7r20_B,YS,118,3.668,0.8154,0.7554,0.7669,0.4407,0.7712,0.8898,0.9661,0.572,0.1864,0.4407,0.7712,0.8898,107,10,1.42
7r20_B,AF2r10em,118,2.927,0.8738,0.8372,0.8708,0.7373,0.839,0.9237,0.9831,0.7521,0.5085,0.7373,0.839,0.9237,108,10,1.42
7r20_B,OFr20em,118,2.866,0.8676,0.8275,0.8665,0.7373,0.822,0.9237,0.9831,0.7373,0.4661,0.7373,0.822,0.9237,107,10,1.42
7r20_B,ESM,118,2.9,0.874,0.8364,0.8602,0.7034,0.8305,0.9237,0.9831,0.7352,0.4831,0.7034,0.8305,0.9237,109,10,1.42
7r20_B,IF,118,2.663,0.8807,0.8389,0.8729,0.7373,0.8559,0.9153,0.9831,0.7394,0.4492,0.7373,0.8559,0.9153,109,10,1.42
7r20_B,AF2,118,2.804,0.8824,0.8496,0.8771,0.7542,0.839,0.9322,0.9831,0.7669,0.5424,0.7542,0.839,0.9322,109,10,1.42
7r20_B,NN,118,2.51,0.8717,0.8306,0.8644,0.7288,0.8305,0.9068,0.9915,0.7352,0.4746,0.7288,0.8305,0.9068,108,10,1.42
7r20_B,OF,118,2.78,0.8782,0.8433,0.875,0.7542,0.839,0.9237,0.9831,0.7733,0.5763,0.7542,0.839,0.9237,109,10,1.42
7r20_B,OFr4em,118,2.86,0.8689,0.8289,0.8644,0.7288,0.822,0.9237,0.9831,0.7479,0.5169,0.7288,0.822,0.9237,107,10,1.42
7r20_B,NNem,118,2.935,0.8222,0.7671,0.7775,0.4576,0.7797,0.8983,0.9746,0.5699,0.1441,0.4576,0.7797,0.8983,106,10,1.42
7r20_B,OFr4,118,2.78,0.8782,0.8433,0.875,0.7542,0.839,0.9237,0.9831,0.7733,0.5763,0.7542,0.839,0.9237,109,10,1.42
7r20_B,OFem,118,2.866,0.8686,0.826,0.8644,0.7373,0.822,0.9153,0.9831,0.7436,0.5,0.7373,0.822,0.9153,108,10,1.42
7p6k_G,OFr4,114,1.349,0.9158,0.8935,0.8904,0.6316,0.9298,1.0,1.0,0.6864,0.1842,0.6316,0.9298,1.0,113,6,3.8
7p6k_G,OF,114,1.352,0.9157,0.8936,0.8947,0.6491,0.9298,1.0,1.0,0.693,0.193,0.6491,0.9298,1.0,113,6,3.8
7p6k_G,ESM,114,1.354,0.9159,0.8895,0.8882,0.6228,0.9298,1.0,1.0,0.6864,0.193,0.6228,0.9298,1.0,114,6,3.8
7p6k_G,AF2em,114,1.477,0.8956,0.8678,0.8487,0.5,0.8947,1.0,1.0,0.636,0.1491,0.5,0.8947,1.0,114,6,3.8
7p6k_G,AF2r10em,114,1.435,0.9014,0.8711,0.8618,0.5351,0.9123,1.0,1.0,0.6513,0.1579,0.5351,0.9123,1.0,114,6,3.8
7p6k_G,AF2,114,1.299,0.9206,0.8946,0.886,0.6228,0.9298,0.9912,1.0,0.6842,0.193,0.6228,0.9298,0.9912,114,6,3.8
7p6k_G,IFem,114,1.503,0.8933,0.8618,0.8487,0.5,0.9035,0.9912,1.0,0.6338,0.1404,0.5,0.9035,0.9912,114,6,3.8
