,7n9c_D,7d8b_B,7l6v_D,7p5v_G,6zwk_A,7ocy_C,7cz0_E,7oan_F,7m1h_F,7kd0_C,7tpr_D,7z1b_E,7nft_C,7rby_B,7d4b_B,7e6u_B,7p5w_G,7vfa_D,7s7r_B,7fau_B,7nfr_B,7lzp_C,7r63_A,7l6v_B,7php_N,7anq_B,7m1h_E,7z1c_E,7olz_B,7d6y_B,7r4i_D,7fat_B,7sl9_B,7nqa_C,7te8_A,7o06_A,7p6k_G,7omn_A,7te8_C,7p60_G,7ar0_B,7l6v_C,7qbg_E,7qbe_E,7t5f_B,7lzp_B,7na9_D,7s2r_B,7b2p_D,7r74_B,7p5y_G,7qiv_C,7r98_D,7r20_B,7czd_A,7tpr_F,7e53_B,7f5g_B,7zfb_M,7ndf_C,7t5f_C,7ngh_D,7rnn_C,7z1a_E,7apj_B,7lzp_G,7nfq_C,7ooi_A,7nqk_B,7djx_A,7pqg_B,7djy_A,7vfb_B,7r4r_D,7r4q_D
7lx5_C,67,62,57,65,68,58,68,65,63,63,63,72,70,88,68,68,66,64,71,65,65,57,61,66,67,67,61,72,67,62,62,70,67,61,63,65,66,64,66,66,66,55,74,64,62,65,67,63,65,63,68,66,62,65,65,71,63,61,68,60,62,65,69,71,60,52,68,65,61,74,70,64,68,65,65
7ldj_E,67,62,57,65,68,58,68,65,63,63,63,72,70,88,68,68,66,64,71,65,65,57,61,66,67,67,61,72,67,62,62,70,67,61,63,65,66,64,66,66,66,55,74,64,62,65,67,63,65,63,68,66,62,65,65,71,63,61,68,60,62,65,69,71,60,52,68,65,61,74,70,64,68,65,65
5tok_D,67,64,63,70,69,62,74,69,69,69,64,70,72,85,69,70,70,66,74,66,67,62,64,70,70,67,63,70,73,62,70,71,72,62,69,70,70,69,71,69,71,58,77,69,67,63,68,65,66,66,72,70,63,71,70,72,65,66,74,62,65,70,71,71,66,54,71,70,62,76,72,69,72,70,68
7ksg_D,67,58,60,66,67,60,66,71,64,64,62,69,68,86,68,63,66,63,68,63,64,61,62,65,69,68,60,69,70,58,68,71,67,58,65,64,66,62,67,67,65,58,71,66,65,66,67,64,65,64,67,69,62,64,65,67,61,64,70,59,63,67,70,70,63,53,67,64,60,74,68,67,65,69,67
7kn5_C,67,58,60,66,67,60,66,71,64,64,62,69,68,86,68,63,66,63,68,63,64,61,62,65,69,68,60,69,70,58,68,71,67,58,65,64,66,62,67,67,65,58,71,66,65,66,67,64,65,64,67,69,62,64,65,67,61,64,70,59,63,67,70,70,63,53,67,64,60,74,68,67,65,69,67
7b18_D,67,58,60,66,67,60,66,71,64,64,62,69,68,86,68,63,66,63,68,63,64,61,62,65,69,68,60,69,70,58,68,71,67,58,65,64,66,62,67,67,65,58,71,66,65,66,67,64,65,64,67,69,62,64,65,67,61,64,70,59,63,67,70,70,63,53,67,64,60,74,68,67,65,69,67
7b14_D,67,58,60,66,67,60,66,71,64,64,62,69,68,86,68,63,66,63,68,63,64,61,62,65,69,68,60,69,70,58,68,71,67,58,65,64,66,62,67,67,65,58,71,66,65,66,67,64,65,64,67,69,62,64,65,67,61,64,70,59,63,67,70,70,63,53,67,64,60,74,68,67,65,69,67
5tp3_A,67,63,60,69,69,61,70,66,67,66,63,70,71,82,69,69,69,64,74,66,68,60,65,70,67,67,64,70,73,64,67,70,70,62,68,70,70,69,69,67,71,58,76,67,66,64,67,65,67,69,71,69,64,69,71,72,63,66,71,61,66,70,70,71,65,54,71,71,63,76,72,69,69,70,69
5toj_D,67,63,60,69,69,61,70,66,67,66,63,70,71,82,69,69,69,64,74,66,68,60,65,70,67,67,64,70,73,64,67,70,70,62,68,70,70,69,69,67,71,58,76,67,66,64,67,65,67,69,71,69,64,69,71,72,63,66,71,61,66,70,70,71,65,54,71,71,63,76,72,69,69,70,69
5ja8_B,70,61,64,72,74,64,73,69,68,72,65,70,75,81,72,72,74,67,78,65,70,64,67,72,72,67,65,70,76,62,68,69,74,65,72,73,73,67,68,72,72,59,78,66,69,67,70,66,69,69,74,72,65,70,69,69,65,68,76,65,67,72,75,70,68,57,77,68,66,74,71,70,70,70,69
5wb2_D,68,63,62,67,71,63,69,66,67,63,65,69,71,82,71,67,68,63,71,63,62,64,60,65,69,67,62,70,71,63,70,71,67,62,63,66,66,65,64,68,68,58,74,67,64,65,70,66,64,65,69,68,62,64,65,66,61,65,70,63,63,66,67,70,64,53,69,64,63,73,70,65,67,67,68
7kn5_E,73,62,61,71,74,60,71,68,67,68,68,73,75,80,72,70,71,63,73,64,67,62,63,70,71,68,65,72,74,62,67,71,71,63,69,69,71,67,69,69,69,60,79,67,66,67,71,65,69,66,71,73,64,67,68,69,65,64,73,62,67,70,73,73,66,57,72,69,66,74,72,68,69,69,69
5lhq_B,68,59,59,65,67,56,65,65,62,62,63,68,68,81,66,67,65,60,70,65,59,58,59,65,66,62,59,68,67,59,62,70,68,58,64,65,65,64,66,65,68,53,74,65,62,59,68,64,62,61,65,67,59,65,65,66,59,62,65,60,62,65,68,68,60,53,65,64,62,70,68,64,68,62,66
5lhp_B,68,59,59,65,67,56,65,65,62,62,63,68,68,81,66,67,65,60,70,65,59,58,59,65,66,62,59,68,67,59,62,70,68,58,64,65,65,64,66,65,68,53,74,65,62,59,68,64,62,61,65,67,59,65,65,66,59,62,65,60,62,65,68,68,60,53,65,64,62,70,68,64,68,62,66
5lhn_B,68,59,59,65,67,56,65,65,62,62,63,68,68,81,66,67,65,60,70,65,59,58,59,65,66,62,59,68,67,59,62,70,68,58,64,65,65,64,66,65,68,53,74,65,62,59,68,64,62,61,65,67,59,65,65,66,59,62,65,60,62,65,68,68,60,53,65,64,62,70,68,64,68,62,66
6x08_K,70,62,60,68,70,60,70,70,69,67,65,70,71,81,70,70,70,66,71,66,66,62,62,72,69,68,66,69,73,59,70,67,69,61,65,70,69,66,65,69,70,60,76,67,66,65,68,64,66,69,70,72,63,70,66,71,64,66,75,63,68,68,71,70,64,55,71,67,67,74,70,69,67,70,66
6zrv_B,71,63,63,70,73,65,72,70,67,67,65,69,73,81,73,69,73,63,73,64,69,61,65,72,70,72,64,69,76,65,72,71,70,60,68,68,71,68,70,70,71,59,76,66,65,65,69,66,67,69,73,74,64,69,70,70,62,67,74,62,69,71,74,69,67,56,74,69,64,77,74,68,68,73,70
6qv2_E,65,62,59,67,70,60,68,64,64,65,64,71,69,81,67,68,67,62,72,62,60,60,58,66,68,64,60,70,72,63,64,67,67,60,63,64,67,69,63,67,66,57,75,66,63,64,67,62,64,64,68,68,60,66,64,67,62,60,69,61,64,67,68,71,60,50,66,69,60,75,67,65,64,65,65
7on5_A,71,61,63,69,73,62,70,70,69,68,66,75,71,83,76,69,70,65,72,65,66,63,64,67,72,70,66,75,74,61,69,72,70,62,66,70,68,66,68,70,67,60,74,67,65,67,68,65,67,68,71,72,63,68,68,70,67,66,74,63,67,69,73,75,67,56,72,66,60,72,74,68,68,69,72
7olz_C,71,61,63,69,73,62,70,70,69,68,66,75,71,83,76,69,70,65,72,65,66,63,64,67,72,70,66,75,74,61,69,72,70,62,66,70,68,66,68,70,67,60,74,67,65,67,68,65,67,68,71,72,63,68,68,70,67,66,74,63,67,69,73,75,67,56,72,66,60,72,74,68,68,69,72
7ns6_G,69,62,60,67,70,59,68,66,67,64,61,72,69,82,68,70,68,62,69,65,63,60,63,67,68,69,61,71,69,60,69,73,68,60,64,64,66,64,66,68,67,56,72,65,64,67,70,62,65,66,69,69,62,63,66,66,63,63,75,61,65,67,70,71,63,56,70,64,61,73,71,66,68,66,68
7nll_A,69,62,60,67,70,59,68,66,67,64,61,72,69,82,68,70,68,62,69,65,63,60,63,67,68,69,61,71,69,60,69,73,68,60,64,64,66,64,66,68,67,56,72,65,64,67,70,62,65,66,69,69,62,63,66,66,63,63,75,61,65,67,70,71,63,56,70,64,61,73,71,66,68,66,68
4laj_H,70,63,64,69,70,63,71,67,66,67,64,69,70,79,70,69,71,63,73,65,65,64,64,69,73,66,63,69,73,65,70,69,70,62,71,67,70,70,70,70,68,56,74,66,67,63,70,62,70,67,72,71,62,68,70,71,61,67,73,62,67,72,69,71,65,54,69,70,61,75,69,68,66,69,67
5hgg_S,72,60,60,68,75,62,72,68,66,66,66,71,72,78,69,71,69,67,77,71,66,61,62,69,69,68,63,71,72,62,67,74,72,64,70,72,69,65,66,68,72,60,74,68,65,64,70,68,67,65,69,72,67,69,70,67,65,63,70,63,67,69,72,71,67,52,70,63,63,75,71,67,71,70,69
5hdo_A,72,60,60,68,75,62,72,68,66,66,66,71,72,78,69,71,69,67,77,71,66,61,62,69,69,68,63,71,72,62,67,74,72,64,70,72,69,65,66,68,72,60,74,68,65,64,70,68,67,65,69,72,67,69,70,67,65,63,70,63,67,69,72,71,67,52,70,63,63,75,71,67,71,70,69
7a4d_A,68,63,65,73,70,66,75,70,66,70,64,71,73,78,69,70,72,64,76,65,70,64,65,74,72,68,64,71,73,62,69,70,73,64,72,70,75,66,73,70,71,58,74,67,69,62,68,63,67,69,74,72,63,69,73,67,63,69,72,65,69,74,75,71,68,58,75,67,62,74,72,69,69,71,70
4grw_F,70,60,60,70,72,60,70,66,67,68,66,70,69,79,67,65,71,64,71,62,64,60,61,66,68,64,64,70,72,60,65,67,69,62,68,64,69,64,69,70,70,56,73,63,63,64,69,62,68,67,71,68,63,67,68,68,63,66,72,62,65,69,71,71,64,53,70,67,62,75,68,67,66,66,67
4y7m_A,69,60,57,65,66,59,67,69,65,64,66,73,67,79,67,66,66,62,73,66,64,58,63,67,64,65,58,73,71,60,67,68,67,60,62,64,67,64,64,66,67,60,71,67,63,63,65,64,61,67,68,69,61,67,64,67,62,61,68,63,64,64,67,72,60,52,68,64,60,74,71,67,68,68,66
4qgy_A,69,60,57,65,66,59,67,69,65,64,66,73,67,79,67,66,66,62,73,66,64,58,63,67,64,65,58,73,71,60,67,68,67,60,62,64,67,64,64,66,67,60,71,67,63,63,65,64,61,67,68,69,61,67,64,67,62,61,68,63,64,64,67,72,60,52,68,64,60,74,71,67,68,68,66
5o03_C,65,61,56,61,64,56,61,63,61,61,65,65,67,74,61,64,62,59,68,61,61,55,60,62,64,61,55,65,66,61,60,67,64,56,63,64,62,61,61,62,66,52,72,62,76,61,66,62,62,59,63,63,58,63,66,65,61,61,67,56,61,59,64,65,58,51,66,61,57,68,64,62,65,60,63
6zg3_E,70,59,60,68,69,59,70,67,65,65,66,70,72,76,68,69,67,66,73,64,66,60,60,67,65,67,65,70,71,59,63,68,69,62,65,64,69,66,65,64,71,57,75,64,65,62,68,66,68,67,70,70,63,65,66,69,64,64,73,65,65,67,70,72,63,55,69,67,64,73,70,68,68,67,66
7aqg_C,72,64,64,72,73,65,74,74,67,72,65,74,75,78,69,72,74,67,79,68,69,64,68,72,68,72,63,74,75,62,71,71,71,62,70,69,73,66,70,70,72,60,76,67,69,62,71,68,69,71,76,74,62,69,71,70,66,68,75,68,68,74,74,75,69,60,75,68,65,75,73,71,71,74,71
6gwp_C,72,64,64,72,73,65,74,74,67,72,65,74,75,78,69,72,74,67,79,68,69,64,68,72,68,72,63,74,75,62,71,71,71,62,70,69,73,66,70,70,72,60,76,67,69,62,71,68,69,71,76,74,62,69,71,70,66,68,75,68,68,74,74,75,69,60,75,68,65,75,73,71,71,74,71
6gwn_C,72,64,64,72,73,65,74,74,67,72,65,74,75,78,69,72,74,67,79,68,69,64,68,72,68,72,63,74,75,62,71,71,71,62,70,69,73,66,70,70,72,60,76,67,69,62,71,68,69,71,76,74,62,69,71,70,66,68,75,68,68,74,74,75,69,60,75,68,65,75,73,71,71,74,71
6ran_C,65,60,60,67,69,65,68,67,65,64,61,69,65,74,69,65,66,62,69,63,60,63,60,63,69,61,61,69,71,60,66,64,70,61,63,67,69,63,64,66,65,56,70,64,63,61,67,60,60,70,67,70,61,68,62,65,61,64,67,66,65,67,65,71,63,54,65,64,59,71,67,66,68,67,66
6ram_C,65,60,60,67,69,65,68,67,65,64,61,69,65,74,69,65,66,62,69,63,60,63,60,63,69,61,61,69,71,60,66,64,70,61,63,67,69,63,64,66,65,56,70,64,63,61,67,60,60,70,67,70,61,68,62,65,61,64,67,66,65,67,65,71,63,54,65,64,59,71,67,66,68,67,66
6ral_C,65,60,60,67,69,65,68,67,65,64,61,69,65,74,69,65,66,62,69,63,60,63,60,63,69,61,61,69,71,60,66,64,70,61,63,67,69,63,64,66,65,56,70,64,63,61,67,60,60,70,67,70,61,68,62,65,61,64,67,66,65,67,65,71,63,54,65,64,59,71,67,66,68,67,66
6rak_C,65,60,60,67,69,65,68,67,65,64,61,69,65,74,69,65,66,62,69,63,60,63,60,63,69,61,61,69,71,60,66,64,70,61,63,67,69,63,64,66,65,56,70,64,63,61,67,60,60,70,67,70,61,68,62,65,61,64,67,66,65,67,65,71,63,54,65,64,59,71,67,66,68,67,66
6raj_C,65,60,60,67,69,65,68,67,65,64,61,69,65,74,69,65,66,62,69,63,60,63,60,63,69,61,61,69,71,60,66,64,70,61,63,67,69,63,64,66,65,56,70,64,63,61,67,60,60,70,67,70,61,68,62,65,61,64,67,66,65,67,65,71,63,54,65,64,59,71,67,66,68,67,66
6rai_C,65,60,60,67,69,65,68,67,65,64,61,69,65,74,69,65,66,62,69,63,60,63,60,63,69,61,61,69,71,60,66,64,70,61,63,67,69,63,64,66,65,56,70,64,63,61,67,60,60,70,67,70,61,68,62,65,61,64,67,66,65,67,65,71,63,54,65,64,59,71,67,66,68,67,66
6rah_C,65,60,60,67,69,65,68,67,65,64,61,69,65,74,69,65,66,62,69,63,60,63,60,63,69,61,61,69,71,60,66,64,70,61,63,67,69,63,64,66,65,56,70,64,63,61,67,60,60,70,67,70,61,68,62,65,61,64,67,66,65,67,65,71,63,54,65,64,59,71,67,66,68,67,66
6rag_C,65,60,60,67,69,65,68,67,65,64,61,69,65,74,69,65,66,62,69,63,60,63,60,63,69,61,61,69,71,60,66,64,70,61,63,67,69,63,64,66,65,56,70,64,63,61,67,60,60,70,67,70,61,68,62,65,61,64,67,66,65,67,65,71,63,54,65,64,59,71,67,66,68,67,66
6raf_C,65,60,60,67,69,65,68,67,65,64,61,69,65,74,69,65,66,62,69,63,60,63,60,63,69,61,61,69,71,60,66,64,70,61,63,67,69,63,64,66,65,56,70,64,63,61,67,60,60,70,67,70,61,68,62,65,61,64,67,66,65,67,65,71,63,54,65,64,59,71,67,66,68,67,66
5o0w_E,66,57,57,59,65,55,60,60,58,59,61,62,65,73,62,61,61,58,66,59,58,58,56,61,64,64,57,62,66,58,61,65,67,57,62,61,61,60,64,60,66,54,68,59,60,58,65,61,62,58,61,64,60,60,61,61,61,59,63,57,59,58,61,64,58,50,63,60,59,65,64,61,62,61,62
4grw_E,64,63,59,67,66,60,68,66,65,68,62,70,68,77,70,66,69,62,66,65,64,61,62,68,72,65,58,70,71,63,68,66,68,59,67,64,67,69,68,66,65,55,74,65,64,61,64,62,67,67,69,68,62,70,67,70,64,62,71,64,63,70,69,71,63,55,68,70,61,72,69,66,66,65,69
6ssp_K,69,62,60,68,72,63,71,67,66,67,64,73,71,77,67,73,70,68,74,67,67,60,67,68,67,70,60,72,74,62,67,72,71,62,68,70,69,64,67,70,73,57,75,68,66,65,71,68,66,67,71,71,65,66,70,67,64,66,73,64,66,69,71,73,66,53,71,65,65,74,72,68,71,70,68
7aqy_C,75,59,63,69,79,62,68,66,68,68,67,78,74,73,71,72,71,69,78,70,69,63,67,67,68,74,67,78,79,60,67,71,74,61,67,69,69,59,67,71,76,62,67,67,63,68,74,65,67,71,73,74,67,69,67,71,69,64,65,67,69,70,70,78,63,56,69,61,65,79,76,73,74,71,69
7dge_C,77,65,65,75,78,67,76,68,71,72,69,79,78,74,78,71,76,70,81,67,71,66,67,73,73,74,67,79,82,62,71,74,77,64,71,72,75,69,71,74,78,63,75,72,67,68,74,67,69,74,77,80,67,73,70,71,71,68,72,67,72,74,76,79,70,59,76,70,68,81,78,76,73,72,72
6n51_C,77,65,65,75,78,67,76,68,71,72,69,79,78,74,78,71,76,70,81,67,71,66,67,73,73,74,67,79,82,62,71,74,77,64,71,72,75,69,71,74,78,63,75,72,67,68,74,67,69,74,77,80,67,73,70,71,71,68,72,67,72,74,76,79,70,59,76,70,68,81,78,76,73,72,72
6n50_E,77,65,65,75,78,67,76,68,71,72,69,79,78,74,78,71,76,70,81,67,71,66,67,73,73,74,67,79,82,62,71,74,77,64,71,72,75,69,71,74,78,63,75,72,67,68,74,67,69,74,77,80,67,73,70,71,71,68,72,67,72,74,76,79,70,59,76,70,68,81,78,76,73,72,72
6n4y_E,77,65,65,75,78,67,76,68,71,72,69,79,78,74,78,71,76,70,81,67,71,66,67,73,73,74,67,79,82,62,71,74,77,64,71,72,75,69,71,74,78,63,75,72,67,68,74,67,69,74,77,80,67,73,70,71,71,68,72,67,72,74,76,79,70,59,76,70,68,81,78,76,73,72,72
5c2u_B,70,59,58,67,69,61,68,64,66,66,63,71,70,78,70,70,68,66,73,65,64,60,63,66,68,70,63,71,71,59,67,73,70,63,67,70,67,62,67,72,71,56,71,67,62,63,68,70,60,71,68,70,64,66,66,66,63,64,68,64,63,68,66,72,61,56,68,63,66,71,70,67,70,67,66
7wpd_Z,72,59,64,71,74,64,71,64,66,74,62,75,77,72,70,68,70,63,79,65,69,63,66,70,68,69,65,74,75,59,64,66,72,64,68,67,69,63,68,67,71,61,66,66,64,63,71,65,70,68,70,71,71,69,67,69,65,66,70,64,69,69,73,74,65,57,70,63,65,75,69,68,64,69,69
7q6c_K,72,59,64,71,74,64,71,64,66,74,62,75,77,72,70,68,70,63,79,65,69,63,66,70,68,69,65,74,75,59,64,66,72,64,68,67,69,63,68,67,71,61,66,66,64,63,71,65,70,68,70,71,71,69,67,69,65,66,70,64,69,69,73,74,65,57,70,63,65,75,69,68,64,69,69
7pij_K,72,59,64,71,74,64,71,64,66,74,62,75,77,72,70,68,70,63,79,65,69,63,66,70,68,69,65,74,75,59,64,66,72,64,68,67,69,63,68,67,71,61,66,66,64,63,71,65,70,68,70,71,71,69,67,69,65,66,70,64,69,69,73,74,65,57,70,63,65,75,69,68,64,69,69
